year2,job_creation_births,comp_job_creation_births
1978,4558670,4623750
1979,5000220,5051230
1980,4569430,4629610
1981,5217090,5481670
1982,6237940,6336480
1983,4725120,4890920
1984,5380380,5655250
1985,5364820,5508630
1986,6246580,6325380
1987,6437280,6900300
1988,6323330,6575670
1989,6250800,6678840
1990,5884020,6030640
1991,6011090,6307330
1992,5739550,5850420
1993,5118570,5330300
1994,5588710,5738550
1995,5916670,6063570
1996,6080140,6430430
1997,6876960,7048440
1998,6650160,6834930
1999,6807910,7003640
2000,7077810,7293510
2001,7063350,7429740
2002,8050440,8314340
2003,6736500,6735130
2004,6326140,6419740
2005,6983540,7155250
2006,7245960,7414220
2007,7028290,7314730
2008,6208520,6468760
2009,5114770,5347800
2010,5060790,5331000
2011,4883210,5089750
2012,5524260,5432770
2013,,5275170
